t,Tr,err
2.877593270935188841e+01,1.522623697916666574e-01,8.417640831095295553e-03
2.903993209200649517e+01,1.480305989583333426e-01,1.200130462618865732e-02
2.930393147466109838e+01,1.661783854166666574e-01,9.356600755532538949e-03
2.956793085731570159e+01,1.821289062500000000e-01,1.031572387857475522e-02
2.983193023997030835e+01,1.718750000000000000e-01,3.831789507484880883e-03
3.009592962262491156e+01,2.224121093750000000e-01,2.320406482647014053e-03
3.035992900527951477e+01,2.568359375000000000e-01,2.050539032694892808e-02
3.062392838793412153e+01,2.819010416666666852e-01,2.083333333333333565e-02
3.088792777058872474e+01,3.336588541666666852e-01,8.044712471521742528e-03
3.115192715324332795e+01,3.611653645833333148e-01,4.462574827752342765e-03
3.141592653589793116e+01,4.235026041666666852e-01,1.230537641369518209e-02
